speaker,text,onset_time,offset_time
A,Hmm,1076.05,1076.05
C,Oh I see Yeah You have to convert it to some sort of format I suppose,1077.96,1082.17
D,Yeah,1079.62,1079.62
A,Yeah,1082.64,1082.64
D,I've been trying to g,1083.43,1084.26
D,write something to read the X_M_L_,1085.27,1086.48
D,and get rid of it And I can get rid of it but I'm having trouble putting it anywhere else,1087.55,1091.29
D,So it will come up on the screen,1092.30,1093.85
A,Huh Okay Right,1092.52,1095.50
B,Okay,1095.61,1095.61
D,For the moment I haven't managed to put it into a vector or whatever in Java to play with it But I guess it's not very difficult Yeah in Java yeah,1096.19,1103.48
B,Okay,1099.62,1099.62
A,Okay,1101.18,1101.18
B,are you writing in Java or okay,1101.45,1103.45
A,Right,1103.91,1103.91
D,Yeah,1104.75,1104.75
B,Yeah,1104.83,1104.83
B,you know bunch about file,1106.43,1107.52
C,I mean you should look at look have a look at the the browser code then because um you know they already extract for example transcripts,1106.73,1113.45
D,Yeah yeah I'm sure they do,1114.40,1115.55
C,it into a window at least,1115.29,1116.01
D,Yeah,1116.62,1116.62
A,Yeah it's good idea,1118.40,1118.75
D,Yeah Oh yeah I will,1119.40,1122.44
D,I'm sure it's nothing difficult I'm sure I'm making a meal of it at the moment actually,1124.06,1127.46
B,Um,1133.94,1133.94
B,yeah I guess I mean,1135.58,1136.33
B,it was a good point you had that like collaborating,1137.57,1140.05
B,with the file,1141.73,1142.04
A,Yeah,1142.23,1142.23
B,things I mean if you already started on on doing your stuff I guess we can,1143.12,1147.79
D,Yeah yeah Absolutely yeah,1145.72,1147.25
D,Should share as much as possible,1148.90,1149.77
B,Yeah,1150.22,1150.22
A,Mm-hmm libraries,1150.78,1151.34
D,Yeah,1152.75,1152.75
B,Yeah,1153.38,1153.38
A,Hmm,1153.54,1153.54
B,Should we I don't know,1155.19,1156.13
B,meet up and see what we could do I mean I don't know see what you've done and see what we need,1158.29,1163.79
D,Yep,1164.63,1164.63
A,Right,1164.72,1164.72
B,when we know more of what we need maybe,1164.83,1166.42
D,Next week sometime yeah I,1167.29,1168.52
A,Yeah Yeah Yeah exactly exactly So you're still working I see,1167.35,1171.77
B,Or what do we need Yeah,1167.47,1168.42
B,Yeah,1169.62,1169.62
D,actually haven't done anything this week 'cause this week's been manic But,1170.87,1173.55
A,Yes exactly same Yeah I mean betwe,1173.63,1175.78
B,Yep Yeah,1173.93,1174.63
C,What do you mean This week's only two days old,1175.26,1176.91
A,um,1177.07,1177.07
D,well whatever it was last week then,1177.47,1179.12
A,sup,1178.13,1178.13
B,Well,1178.64,1178.64
C,Oh,1178.93,1178.93
A,yeah,1179.28,1179.28
D,The the the week as it as is rather than the proper week do you know what I mean Do you know that it's been all a bit manic the last m the last yeah,1180.27,1186.40
A,Yeah Right,1180.31,1184.15
A,well you're in S_P_N_L_P_ and S_P_ two right So yeah Yeah that's where at,1186.44,1189.74
D,Yeah that's right yeah And then we had to do an I_R_P_,1188.21,1190.72
B,Yep,1188.62,1188.62
D,whatever it was last week as well Which is only a page long but it's quite difficult to write a page,1192.26,1195.62
A,Hmm Yeah Yeah oh yeah,1193.94,1197.55
C,Yeah Oh that's complete rubbish anyway mind,1196.90,1199.64
D,More diffi,1197.96,1198.21
D,it was it wasn't marked but it was I had to sit there and think about it for a bit which is a bit irritating Yeah but S_P_N_L_P_,1199.26,1204.64
C,Just so stupid,1200.83,1201.38
A,Yeah that's fun,1205.86,1206.49
D,Yeah,1207.74,1207.74
A,Oh yeah,1209.32,1209.44
B,Oh,1209.97,1209.97
A,Okay,1211.16,1211.16
B,Um,1211.82,1211.82
A,So Yeah I was thinking that we can probably get uh start attacking this seriously and then just um,1212.25,1217.49
B,Yeah we're gonna meet up,1214.16,1215.15
D,Yep,1216.04,1216.04
A,yeah hopefully have something by next week that we can sorta try integrating into the GUI,1218.56,1222.40
C,Mm-hmm,1223.09,1223.09
A,Okay,1223.58,1223.58
B,Yeah,1223.91,1223.91
A,Think that should be,1225.04,1225.46
C,Well ye the browser as I use it now or as uh you know it was there when I took it,1225.10,1231.50
B,'Cause it's now,1225.21,1225.61
C,um uses the um the N_X_T_ search to get the data out of the out the files,1232.61,1238.77
A,Okay Why,1236.97,1237.91
C,which I think is odd but I'm not quite sure how it works yet I don't quite understand it,1240.17,1243.65
D,So when it when it,1244.84,1246.16
C,To get the data i for example to get the summarisation data you have to search for I think the I_D_s or something,1247.37,1253.70
C,Yeah,1255.44,1255.44
D,That's pretty bizarre isn't it Well I guess that's how it works They've got d,1256.45,1259.38
C,Yeah,1257.54,1257.54
D,That is pretty bizarre,1261.62,1262.06
C,So they don't you know they don't say look in that and that folder but they say search everything,1263.72,1268.24
D,Yeah yeah That is pretty bizarre,1267.18,1271.01
A,Hmm,1272.77,1272.77
A,Well they did say it wasn't the most efficient,1273.78,1274.94
B,Okay,1274.48,1274.48
C,Oh it does load up quite quickly So you know it's not too bad But you know you could have a look at them,1277.55,1282.87
A,Very clearly yeah Yeah,1277.95,1280.03
B,Okay,1280.41,1280.41
B,But it what what is it like a window where you have to wr write the search query Or is it just what's behind it So or how does work then D Okay,1281.71,1291.15
C,No this is not the actual search This is just when you open what you know to load the transcript for example,1289.16,1294.52
B,Yeah,1295.18,1295.18
C,to find the transcript for a certain meeting it does does an N_X_T_ search for the string,1295.71,1301.60
C,I don't know transcript or text or whatever,1302.94,1306.26
D,Wh,1305.67,1305.67
B,Okay,1306.05,1306.05
D,Four and it w it li it just has an open variable transparent s list whatever find everything that's got that and then load,1306.98,1313.45
C,Yeah,1310.69,1310.69
C,Yeah so I don't know if you've looked at the search query s language but it's like a dollar A_ text say,1313.25,1320.46
D,Yeah,1319.51,1319.51
B,Yeah,1319.66,1319.66
A,Yeah,1319.85,1319.85
D,Yeah yeah 'cause that's the uh the declares a variable doesn't it and then they keep Okay,1320.84,1325.11
C,Yeah And then yeah Because,1323.90,1326.35
C,every every of all of these um,1327.37,1329.54
C,these files have got um tha an I_D_ And all the transcript files have got the string I don't know what it is words or text or something in it so it just searches for those files,1331.46,1341.21
B,Okay,1342.37,1342.37
D,Right,1342.98,1342.98
C,Vaguely,1343.23,1343.23
B,When you like you is there a open thingy or,1345.60,1348.97
C,So Open,1345.68,1350.04
B,Like well what did you two do to like how did you figure out that this uses,1350.70,1354.67
B,N_X_T_ search like,1355.79,1356.68
C,Um,1357.49,1357.49
B,is it,1357.77,1357.94
C,um well it's in the code Just that it you know it yeah you define a search object and then you search on that string I had to figure out how to how to do the same thing for the summary That's how I,1358.91,1370.18
B,Okay Okay,1361.22,1364.93
C,I had to I had to understand how to do the transcript how they did the transcript to do the summary myself,1371.99,1376.19
D,Oh see obvious,1372.10,1372.78
D,So did you have to write it in the way that they wrote it is that what you did,1376.64,1379.03
C,Yeah just search for a specific,1379.32,1381.17
C,string,1382.55,1382.55
D,Right Okeydoke,1383.46,1385.36
C,So you could just you know you could use that when you if you wanna um take the data out and put it somewhere Yeah,1385.39,1392.09
D,Fish the data I was just thinking that yeah,1391.33,1392.78
B,Yeah,1393.11,1393.11
C,If you have a a question about w what the p the code means or where to find the code that you wanna you know whatever you wanna do then just send me an email,1396.68,1405.25
B,Mm-hmm,1397.00,1397.00
D,Mm,1405.73,1405.73
C,I can explain it,1406.84,1407.58
B,Yeah,1408.29,1408.29
D,Have you annotated your code nicely,1408.85,1410.00
C,Oh yeah,1410.71,1410.86
D,Not yet,1411.14,1411.33
A,Okay,1411.67,1411.67
C,Actually in the moment it's got a load of rubbish because the the um the browser that I used from this from you know that they gave us had a lot of extra stuff in and I haven't dared throwing out to through out all the functions I haven't you know that I don't need Yeah just in case Exactly,1412.21,1426.48
D,Just in case,1424.82,1425.13
A,Hmm right right,1425.05,1425.67
D,mission critical,1426.47,1426.76
C,Yes,1427.69,1427.69
C,So they're all in there ye still,1428.91,1430.58
D,Yeah,1429.36,1429.36
C,A lot of rubbish but,1431.71,1432.36
C,they will be get will be chucked out right at the end I think,1433.39,1435.75
D,Commen commenting it out one bit at a time and running it does it work yeah Okay get rid of that next,1436.89,1441.30
C,Yes Exactly yes Yeah,1439.28,1441.43
A,Yeah M yeah Yeah,1439.78,1441.15
C,Precisely,1442.48,1442.48
B,Oh yeah,1444.48,1444.59
D,Good fun aye,1446.30,1446.90
B,Yeah Oh no,1446.67,1448.73
A,Hmm,1448.83,1448.83
B,Yeah,1452.00,1452.00
D,So basically we go and go and do some work really I think that's the um the um the answer to that isn't it The long and the short of it,1452.09,1457.88
A,Yeah seriously on the weekend,1454.16,1455.33
C,The,1455.45,1455.45
C,weekend The weekend's still four days off,1458.20,1459.96
A,Yeah Well f Uh Um Yeah,1458.22,1460.42
D,Yeah Proba I'm,1461.23,1462.34
A,Yeah How,1462.01,1463.04
D,still at the bottom of the mountain,1463.41,1464.13
C,Oh,1465.05,1465.05
A,many hours is this,1466.13,1466.89
C,I don't actually have that much to do at the moment,1467.51,1469.16
D,Yeah,1467.61,1467.61
A,Hmm,1468.26,1468.26
D,Well should you find you want to explore any other,1469.91,1472.02
C,Well,1471.25,1471.25
B,Yeah,1472.51,1472.51
C,Oh,1473.04,1473.04
A,Yeah seriously,1473.74,1474.13
C,dear,1474.23,1474.23
D,perhaps you as your um,1475.46,1476.76
C,Well,1475.73,1475.73
D,uh quantify raising,1477.94,1478.93
A,Hmm Yeah Yeah That's what I gotta work on,1480.13,1482.77
C,I can't remember what I'm supposed to do by the way Am I supposed to do the summarisation thingibob,1483.08,1487.12
A,Mm,1488.73,1488.73
B,Mm I don't know,1493.19,1494.25
C,No,1494.01,1494.01
A,Who was doing that,1495.54,1496.01
C,You do,1499.32,1499.43
A,Oh really,1499.74,1499.85
B,Oh,1500.60,1500.60
D,You saw it yeah,1500.71,1501.39
A,Damn,1500.91,1500.91
C,Well I'll do that then,1502.11,1502.70
A,Yeah yeah These can be changed as well Okay yeah,1502.13,1504.34
B,Oh,1503.49,1503.49
C,Shall I do that then I mean,1504.40,1505.49
A,Um I don't know it doesn't matter If if you want to I mean it's just you know play around with some extra stuff You have some time,1505.46,1510.89
C,Or you know,1507.01,1507.51
A,why not,1511.90,1512.01
C,It shouldn't be to difficult I mean,1512.37,1513.29
B,Yeah,1516.15,1516.15
D,So what courses should I pick to be not doing any work at the moment,1516.90,1519.50
B,Yeah,1519.14,1519.14
C,Well I'm doing communications,1521.13,1521.57
B,That's nice,1523.24,1523.53
C,which we had one exercise and I've done that like two weeks ago,1523.34,1526.85
A,Hmm,1527.69,1527.69
C,And that's in in two weeks,1528.02,1529.31
A,Was that in informatics,1530.25,1530.89
A,course Or Oh Oh it like digital,1532.08,1535.10
C,Yeah it's a,1532.88,1533.55
D,Yeah,1533.19,1533.19
C,nine nine course as well or ten or something Yeah,1534.82,1537.40
A,okay Okay,1536.30,1537.39
D,Oh so it's uh yeah,1537.84,1538.61
C,And then then I'm doing,1539.01,1540.27
A,Yeah,1539.77,1539.77
C,parallel programming languages and systems,1541.62,1543.43
A,Hmm,1544.23,1544.23
C,which we had one exercise as well and that's in like Friday,1544.94,1547.37
C,Well I'm not doing any background reading so you know,1551.52,1553.41
A,Alright Yeah,1553.64,1556.33
C,Being lazy,1557.05,1557.27
B,Sorry I'm just being yeah,1557.23,1559.14
A,Fine Hmm,1558.28,1559.54
B,Hmm,1560.44,1560.44
A,Yeah I'll be happy when this week is over,1561.64,1563.39
D,Yeah me too,1564.33,1564.74
C,Oh,1564.67,1564.67
B,Have we these courses that we're okay Yeah,1565.13,1567.71
A,Yeah,1567.12,1567.12
A,Well I don't know is that about it then or,1570.02,1571.45
B,No,1571.85,1571.85
A,anything else we need to discuss,1572.58,1574.11
B,I don,1574.37,1574.40
A,Did we wanna meet before we,1576.52,1577.97
A,talk to Steve next week,1579.21,1580.31
A,Well I dunno We'll probably get some work done over the weekend so I dunno if after D_N_L_G_ or something maybe just have a little quick little update and just,1582.98,1590.77
B,Yeah,1586.73,1586.73
C,Yeah if you like,1592.33,1592.76
B,Yeah I don't,1593.44,1593.90
A,Yeah Well we can Yeah exactly True Yeah,1593.85,1596.11
C,We can always decide then I mean yeah,1594.03,1595.45
B,Yeah,1595.68,1595.68
C,Yeah Um so what what are you planning to do over the weekend then,1596.64,1599.73
A,Search And,1600.37,1601.77
C,You're gonna do the search You're gonna implement the search Everything,1602.05,1605.22
A,well sure why,1603.19,1604.84
B,Yeah,1604.95,1604.95
A,Couldn't be that hard,1606.05,1606.46
B,Yeah,1607.62,1607.62
A,Well it'll be you know still limited,1607.82,1609.65
A,version of you know the next query search But no no,1611.13,1614.17
A,Won't be the whole thing then Um like we can just decide sort of things that we do wanna do Hmm yeah Well actually most are just dialogue acts And what else was there,1615.24,1623.77
B,No,1616.41,1616.41
C,Mm-hmm,1620.66,1620.66
A,summary topic,1631.08,1632.52
B,Mm,1633.31,1633.31
A,Yeah,1638.28,1638.28
C,It's just that I think we need to set ourselves some milestones,1638.91,1640.78
B,I know,1639.14,1639.35
C,because otherwise,1641.94,1642.27
A,Yeah,1642.00,1642.00
C,You know,1644.85,1645.01
A,Yeah it'll get behind schedule yeah pretty quick,1647.31,1649.77
C,Weeks will go by and,1647.82,1648.76
A,Like you're saying yeah Well actually do we wanna set a date for,1651.15,1653.67
A,interim prototype Specifically a date,1654.90,1657.87
B,Mine was,1660.80,1661.06
C,Well you decide I'm not doing much for that prototype So,1661.46,1664.11
D,Um,1664.65,1664.65
B,The progress report is due on twenty,1667.78,1669.97
B,third February,1671.04,1672.43
C,Of,1672.95,1672.95
B,February,1673.81,1673.81
C,Oh,1674.71,1674.71
D,So so what's that two weeks basically,1675.35,1677.12
B,Um yeah,1677.30,1678.35
C,Well how about we get it done by then I mean,1678.93,1681.56
D,Ish yeah,1682.79,1683.10
C,Then we can write about it in the in the interim report and s you know and then we've got something to show,1684.44,1689.39
B,Yeah,1687.80,1687.80
D,Yeah Okay,1687.94,1689.04
B,Yeah,1697.01,1697.01
B,Just looking at my own deadlines,1699.20,1700.23
B,See Yeah that would be,1702.66,1703.97
C,Um oh and the the search interface,1705.37,1707.40
B,fine,1705.51,1705.51
C,Maybe you should decide pretty,1710.85,1712.69
C,pretty early what kind of things you wanna be able to search for,1713.75,1716.59
A,Yeah,1717.20,1717.20
C,And then if you want you can give that to me and I'll I'll build a u nice you know a few tick-boxes and drop-down menus,1718.14,1723.41
B,Wasn't like what you had now wasn't that pretty much what we agreed on Or was it just,1724.94,1730.25
C,No,1728.51,1728.51
C,Oh that's that's that doesn't exist,1730.31,1732.32
B,like that one,1731.30,1731.64
C,Tha that's completely cut and pasted,1733.65,1735.25
A,Okay,1736.03,1736.03
B,Okay,1736.16,1736.16
C,That does not exist,1737.53,1738.19
C,Nicely done though isn't it,1739.39,1740.15
B,This,1740.33,1740.33
D,Yeah that's it's quite impressive actually Yeah,1740.55,1742.56
A,Is it semblance of reality Yeah,1742.46,1744.01
C,It's actually all these all these um things are are nicked from um you know all these drop-down menus and tick-boxes are nicked from Google online,1743.31,1749.97
B,is illusion or whatever,1744.52,1745.68
A,I see,1752.74,1752.87
C,A screen-shot of Google,1753.77,1754.51
B,Oh mm Nice thought I'm impressed,1755.09,1758.34
D,That's quite slow really,1759.63,1760.36
C,It's just so much fun,1759.75,1760.40
B,Maybe you should make it exist then,1759.99,1761.39
D,Yeah,1762.04,1762.04
C,It's gonna be a little difficult more difficult Yeah I mean I was going to but you know the whole drop-down menus and stuff what we wanna search for is not quite agreed on We never agreed on what we wanna,1763.58,1774.34
C,be able to search for,1775.50,1776.24
D,No it's not is it Yeah,1776.60,1777.39
A,Right true Mm decide on that on over the weekend,1776.66,1779.23
C,So,1777.79,1777.79
C,Yeah do you wanna you know just get together and think about the different types of search we could possibly do and then then we could discuss it next meeting which options we really wanna include,1779.80,1788.89
A,Yeah,1781.11,1781.11
B,Yeah,1785.21,1785.21
A,Right,1791.17,1791.17
C,That would probably involve researching the query language a bit as well to see what that can do,1791.35,1795.76
A,Yeah totally,1794.95,1795.30
B,Yeah,1796.46,1796.46
B,It would be nice to I don't know meet up and uh you can sort of show us a bit what you know already so we don't sort of have to do all the work again of just like figuring out stuff,1798.71,1809.44
A,Oh just like the basic So like no,1810.28,1812.14
C,Know Know already what,1810.62,1812.77
A,Sorry,1813.61,1813.61
B,Just like accessing the corpus and stuff,1813.91,1816.08
C,Oh,1816.28,1816.28
A,Yeah Just like all the and seeing the code and just sort of how just see the basics of what you've done Like just get a a quick look over and just the basics,1816.85,1823.50
D,Can take us for a tutorial sometime,1823.06,1824.47
C,Yeah,1823.51,1823.51
A,Yeah Or like like you know the class paths all that sort of thing Like just just say okay well here's you know everything's basic in set-up and then just yeah just jump right in,1824.52,1833.16
B,Yeah,1824.67,1824.67
C,Yeah Yeah I can do that,1829.70,1831.04
B,Yeah,1831.52,1831.52
C,Show you what bits the code,1832.47,1834.06
A,Yeah Yeah That's cool Yeah,1834.42,1837.49
D,Next week sometime,1835.94,1836.39
C,Yeah,1836.03,1836.03
A,In the morning,1839.76,1839.91
C,Ah yeah,1841.01,1841.89
C,Well this time I'm dictating the time 'cause I if I'm not there you can't do anything,1843.90,1848.52
A,Yeah Yeah,1845.02,1845.76
A,Yeah I know Well thing is you know if yeah something like that could happen anytime 'cause uh yeah like my schedule's like a class break class break class you know that sort of thing So so yeah I know exactly exactly that's what I'm thinking So like that and then if I have a class I can run off and do whatever,1847.35,1862.42
C,Yeah ah it's not gonna take an hour to explain it you know,1856.31,1858.59
B,Yeah yeah yeah,1858.51,1859.01
C,I mean,1859.87,1859.98
B,Yeah,1862.60,1862.60
C,Pick a time,1862.74,1862.96
A,Yeah Okay,1863.64,1864.48
C,I I you know let me know whenever,1864.40,1866.66
B,Um yeah,1865.13,1865.98
A,Actually Monday Monday might be good d um,1866.12,1867.84
B,Yeah,1868.15,1868.15
C,What Monday,1868.66,1868.95
A,Yeah yeah,1870.25,1870.93
C,What did you say,1870.30,1870.55
B,Next yeah this Monday Just,1870.51,1871.92
A,Anytime um not at n not at noon or two or four,1872.37,1875.99
D,Mm Monday afternoon,1873.12,1874.21
A,No in between those is you know like one or three or,1877.67,1880.48
D,Uh,1880.93,1880.93
C,Three o'clock,1880.99,1881.21
A,Sure,1881.96,1881.96
C,Actually th yeah,1882.31,1882.73
A,Possibly,1884.28,1884.28
D,Three is alright It was what time's D_N_L_G_ Four isn't it,1885.36,1887.97
B,Yeah It's full yeah,1886.90,1888.78
C,Unless you wanna do it after the um after,1888.86,1890.65
A,Yeah,1889.11,1889.11
A,Yeah that's an option too Yeah after,1891.57,1893.34
C,D_ D_ and A_,1891.89,1893.60
A,Sure That's fine,1895.31,1896.37
D,Three's good though I'll but we have s whatever What's you what would you prefer,1895.92,1899.63
B,Yeah,1896.08,1896.08
A,Yeah Or three thirty,1899.14,1900.42
A,No just yeah That'd be necessarily necessarily,1901.97,1904.70
B,Well it doesn't matter me I mean three three or after what,1903.41,1906.42
C,That's gonna be tight,1903.75,1904.27
D,We could three thirty in the in the computer room in here and then we can just go stra,1904.69,1907.90
A,Actually we can't get in there though,1907.27,1908.50
D,if you can't can you get in the front door Oh you haven't got a key do you Can none of you get in there,1909.35,1913.58
B,Maybe we ca,1910.51,1910.82
A,W we well we can get through the through the card the card door Yeah,1912.60,1917.91
C,Yeah it what front door,1913.93,1914.88
D,The k the f there's computer rooms in here the M_S_C_ computer lab and uh is in here Well if you find me I'll show you where I'll I'll let us all in there and we can all go in there,1915.80,1924.94
B,In four Buccleuch,1916.30,1916.75
C,I've not that yet,1918.62,1919.33
A,How about if we take uh a,1920.04,1920.99
B,We can go,1923.42,1923.75
A,Yeah right,1923.73,1924.44
B,we can look at now afterwards,1925.04,1926.10
A,Yeah yeah exactly,1926.82,1927.35
D,Yeah yeah You do need to have a key for it Like that's the thing It's got a lock door button,1927.00,1930.55
B,Yeah,1927.75,1927.75
A,Okay,1929.75,1929.75
B,Okay,1929.86,1929.86
A,Just sort bang on it Actually I was asking Steve about that whether we can get in there Whether he was gonna get us access into the,1930.87,1937.44
D,Yeah somebody will answer it,1932.21,1933.11
B,Into what Okay uh,1938.05,1940.01
A,the computer room,1938.69,1939.05
D,Yeah it's only got it's crap it's only got about four or five computers in But it would do quite good for our job 'cause it has not very uh p not many people in it very often,1940.37,1947.61
A,Yeah print Okay,1942.95,1945.11
B,Yeah,1947.76,1947.76
A,Right Is there a printer in there too,1947.93,1949.39
D,Yeah there's fridge there And there's a photo-copier,1949.76,1950.92
D,with the code on it yeah yeah,1952.36,1953.48
A,A nice okay That would come in handy yeah,1953.94,1956.54
D,It's cool yeah,1954.72,1955.23
C,Ah Well I'm just,1956.78,1958.16
B,Oh is that photo-copier I heard I heard about,1957.65,1959.57
A,Hey we could we could photo-copy our um assignment if we wanted to,1957.74,1961.66
B,Yeah,1960.60,1960.60
C,I've got it in my computer,1961.76,1963.06
B,Yeah,1963.02,1963.02
A,Yeah the comments I'm thinking,1964.06,1965.07
C,Whatever is in my computer,1964.23,1964.84
B,Yeah,1964.31,1964.31
B,So what time do we say,1965.89,1967.41
C,I just think it's better to do it afterwards Then we have all the time we need Rather than have half an hour and then we'll surely run out,1968.07,1973.97
A,Um,1968.08,1968.08
A,Yeah that's true So after D_N_L_G_,1970.63,1971.85
D,Oh right,1971.01,1971.15
B,Yeah yeah,1971.37,1972.00
D,Yeah yeah,1973.16,1973.41
A,Yeah,1973.20,1973.20
B,Yeah yeah yeah Okay Hmm,1973.31,1978.63
A,As long as D_N_L_G_ doesn't go late,1978.79,1980.01
C,Oh,1981.37,1981.37
D,Hopefully it's not that man so it won't matter,1981.76,1983.10
C,Actually it's not even confirmed yet What was She doesn't even know what she's talking about yet I think,1986.23,1991.23
B,What,1988.65,1988.65
A,Oh,1989.00,1989.00
B,It's,1991.31,1991.31
C,Maybe it doesn't happen at all,1992.78,1993.71
A,So,1992.86,1992.86
B,Yeah I don't know It's reading week next It should be it shouldn't any,1994.74,1997.95
A,Sounds like me,1995.14,1995.53
C,Is it really,1997.58,1997.81
A,Are you Next week Or the week,1998.40,2000.09
B,well it's supposed to be,1999.09,1999.97
B,next week It's week six next week,2001.22,2002.84
A,How,2001.31,2001.31
C,Really,2002.32,2002.32
A,Oh,2003.83,2003.83
C,I don't think we have a reading week though The the,2004.09,2005.48
B,I don't know We have one class at least when we like speech perception we don't have any lectures But I think we're having like all other classes So uh there's not point in having,2005.54,2014.89
A,Yeah That's cancelled Oh really,2006.94,2010.05
C,Yeah I don't think there is an official I don't think there was an official one last semester I think it was just a bank holiday wasn't it,2012.80,2018.53
A,Hmm,2013.00,2013.00
A,Um something like that I think one couple classes were cancelled,2019.01,2021.52
B,No I think it w,2020.17,2020.71
D,Some classes did and some classes didn't,2021.17,2022.83
A,Yeah Exact,2023.28,2023.92
B,Yeah which are a bit crap yeah I think the under-graduates had,2023.48,2027.24
D,It's all a bit bizarre really They didn't really know what was going on,2023.99,2026.63
A,Yeah I th Yeah,2025.30,2028.12
B,uh all were off totally,2028.26,2029.49
A,I think it was up to the professor whether they did it or not Well I don't feel like teaching Yeah okay I think yeah I think D_I_L_ will probably have one to make up for missing classes,2029.62,2039.33
D,Nah make 'em work,2034.37,2034.91
B,What,2040.58,2040.58
A,D_I_L_ will probably,2040.92,2041.72
B,Yeah th we will probably have it yeah,2042.24,2043.95
A,have classes yeah,2042.87,2044.10
B,yeah last week,2045.05,2046.17
C,Okay,2047.21,2047.21
A,Yep,2048.07,2048.07
C,Let's meet Monday,2048.55,2048.91
B,Yeah,2048.60,2048.60
D,Done,2050.35,2050.35
B,Yeah um I guess,2050.48,2053.28
C,Hmm,2053.70,2053.70
B,that's it Was there anything else Do anyone know you wanna like take care of this or should I take care of it,2054.36,2060.28
A,You can have it Yeah,2060.79,2062.02
D,Oh we trust you,2060.96,2061.63
B,Yeah I,2062.28,2062.63
B,don't know if there was something,2063.75,2064.58
B,Oh I think he basically said,2065.78,2067.02
B,um,2069.59,2069.59
B,the same things as in the comments,2070.60,2072.49
B,if I could read it,2073.98,2074.70
B,Can you read that,2078.04,2078.51
A,Huh,2078.18,2078.18
A,Which one the top one,2079.28,2080.36
A,Um,2081.46,2081.46
A,Do you really want multiple windows from a single lap,2084.36,2086.81
B,Yeah From a single application,2086.54,2089.79
A,But most will probably want to go with defaults,2089.60,2091.89
B,Yeah Well uh that was I guess,2094.39,2096.48
A,Yeah Yeah,2094.68,2095.77
D,Yeah I think the comments are basically the same as what you said So it's,2096.45,2098.77
A,You'd be s,2096.92,2097.15
A,Yeah exactly and just the other comment about whether you wanna do both speaker characterisation and topic segmentation,2098.74,2104.25
B,Oh No,2098.91,2105.60
A,Yeah yeah that's about it Nothing terribly exciting,2106.21,2108.29
B,Oh yeah Yeah,2107.83,2108.62
A,Okay,2109.84,2109.84
B,And now we have seven percent of the course already done,2109.97,2113.27
A,Yeah Alright,2112.13,2114.27
D,Yeah,2114.65,2114.65
B,Is quite good,2115.32,2115.56
A,Okay So,2116.14,2117.04
C,Right I think we need to tick the okay box right,2116.83,2118.80
B,So if y,2117.08,2117.75
B,If you're okay with uh having,2119.14,2120.64
C,Ooh,2120.07,2120.07
D,Oof Bu buzzes Yeah,2121.21,2122.74
C,Exciting,2121.65,2121.65
B,Oh,2122.92,2122.92
A,Okay,2125.92,2125.92
D,Signing off innit Log off,2126.00,2127.28
B,Who Yeah,2126.26,2127.01
A,Yeah Okay,2127.38,2129.89
C,Should we turn these off then or what,2131.48,2132.43
B,We're done now I uh,2133.91,2136.67
B,Is she still here Yes you are Yeah,2139.28,2141.59
